Date,Region,Category,Units_Sold,Revenue
2024-01-01,North,Electronics,6,606.18
2024-01-01,North,Clothing,5,445.56
2024-01-01,North,Groceries,7,187.56
2024-01-01,North,Furniture,4,724.3
2024-01-01,North,Toys,6,455.74
2024-01-01,South,Electronics,11,380.41
2024-01-01,South,Clothing,7,452.7
2024-01-01,South,Groceries,6,257.19
2024-01-01,South,Furniture,9,338.54
2024-01-01,South,Toys,8,376.13
2024-01-01,East,Electronics,7,285.07
2024-01-01,East,Clothing,12,606.87
2024-01-01,East,Groceries,3,454.1
2024-01-01,East,Furniture,11,432.9
2024-01-01,East,Toys,5,605.76
2024-01-01,West,Electronics,9,902.29
2024-01-01,West,Clothing,3,382.98
2024-01-01,West,Groceries,7,365.25
2024-01-01,West,Furniture,9,651.64
2024-01-01,West,Toys,8,296.14
2024-01-02,North,Electronics,11,493.41
2024-01-02,North,Clothing,10,385.47
2024-01-02,North,Groceries,11,423.67
2024-01-02,North,Furniture,9,561.99
2024-01-02,North,Toys,16,454.76
2024-01-02,South,Electronics,6,462.31
2024-01-02,South,Clothing,6,448.93
2024-01-02,South,Groceries,9,510.93
2024-01-02,South,Furniture,9,425.59
2024-01-02,South,Toys,5,572.35
2024-01-02,East,Electronics,7,385.75
2024-01-02,East,Clothing,8,749.5
2024-01-02,East,Groceries,9,431.6
2024-01-02,East,Furniture,3,537.5
2024-01-02,East,Toys,11,407.3
2024-01-02,West,Electronics,13,484.17
2024-01-02,West,Clothing,11,443.53
2024-01-02,West,Groceries,8,403.8
2024-01-02,West,Furniture,10,425.83
2024-01-02,West,Toys,7,517.88
2024-01-03,North,Electronics,8,639.98
2024-01-03,North,Clothing,8,432.11
2024-01-03,North,Groceries,9,747.37
2024-01-03,North,Furniture,10,474.97
2024-01-03,North,Toys,5,662.21
2024-01-03,South,Electronics,10,775.99
2024-01-03,South,Clothing,11,423.24
2024-01-03,South,Groceries,10,557.24
2024-01-03,South,Furniture,3,703.1
2024-01-03,South,Toys,12,546.8
2024-01-03,East,Electronics,5,464.84
2024-01-03,East,Clothing,7,431.05
2024-01-03,East,Groceries,4,412.68
2024-01-03,East,Furniture,8,368.72
2024-01-03,East,Toys,8,516.89
2024-01-03,West,Electronics,8,561.9
2024-01-03,West,Clothing,10,359.49
2024-01-03,West,Groceries,8,318.81
2024-01-03,West,Furniture,6,503.33
2024-01-03,West,Toys,10,402.69
2024-01-04,North,Electronics,7,362.35
2024-01-04,North,Clothing,5,679.88
2024-01-04,North,Groceries,13,513.12
2024-01-04,North,Furniture,7,484.98
2024-01-04,North,Toys,10,620.25
2024-01-04,South,Electronics,9,785.02
2024-01-04,South,Clothing,5,633.13
2024-01-04,South,Groceries,9,454.63
2024-01-04,South,Furniture,11,636.9
2024-01-04,South,Toys,9,635.65
2024-01-04,East,Electronics,12,278.65
2024-01-04,East,Clothing,4,737.29
2024-01-04,East,Groceries,6,472.11
2024-01-04,East,Furniture,7,681.49
2024-01-04,East,Toys,6,542.21
2024-01-04,West,Electronics,5,407.69
2024-01-04,West,Clothing,8,705.03
2024-01-04,West,Groceries,5,160.76
2024-01-04,West,Furniture,3,622.44
2024-01-04,West,Toys,8,334.35
2024-01-05,North,Electronics,10,274.99
2024-01-05,North,Clothing,8,645.9
2024-01-05,North,Groceries,7,884.35
2024-01-05,North,Furniture,7,496.33
2024-01-05,North,Toys,7,760.59
2024-01-05,South,Electronics,7,706.75
2024-01-05,South,Clothing,6,748.67
2024-01-05,South,Groceries,7,451.37
2024-01-05,South,Furniture,9,511.26
2024-01-05,South,Toys,12,468.07
2024-01-05,East,Electronics,11,621.25
2024-01-05,East,Clothing,6,477.93
2024-01-05,East,Groceries,7,774.6
2024-01-05,East,Furniture,15,442.01
2024-01-05,East,Toys,3,404.74
2024-01-05,West,Electronics,10,407.44
2024-01-05,West,Clothing,6,526.85
2024-01-05,West,Groceries,11,704.81
2024-01-05,West,Furniture,10,660.59
2024-01-05,West,Toys,7,816.02
2024-01-06,North,Electronics,17,123.29
2024-01-06,North,Clothing,6,579.65
2024-01-06,North,Groceries,5,689.57
2024-01-06,North,Furniture,11,702.6
2024-01-06,North,Toys,6,970.81
2024-01-06,South,Electronics,4,455.3
2024-01-06,South,Clothing,9,744.84
2024-01-06,South,Groceries,10,763.59
